"","d.alb.jan","d.alb.feb","d.alb.mar","d.alb.apr","d.alb.may","d.alb.jun","d.alb.jul","d.alb.aug","d.alb.sep","d.alb.oct","d.alb.nov","d.alb.dec","convert.code","Lat","Lon"
"727",0.0390725,0.0258,0.0204925,0.0214866666666667,0.0325365,0.0398475,0.030245,0.03301,0.0305,0.02128,0.009515,0.0183425,-1,48.9852995,-95.6351928
"2442",0.053195,0.0375675,0.0523075,0.0302246666666667,0.05079825,0.06482125,0.057545,0.0581515,0.05463325,0.041625,0.005811,-0.02012,3,48.35725278,-92.98071996
"2583",0.05248,0.0374975,0.046065,0.030288,0.05080575,0.06486125,0.05762,0.058104,0.05448825,0.0416016666666667,0.00103925000000001,-0.024625,3,48.28588314,-92.96769055
"2584",0.050195,0.037375,0.0431975,0.030428,0.05082325,0.06485875,0.057615,0.058149,0.05462825,0.0416613333333333,0.0044645,-0.02529,3,48.29450741,-92.86058443
"2851",0.0321025,0.016795,0.0302025,0.01964,0.0307075,0.033765,0.024765,0.0287325,0.02706,0.02187,0.00249499999999999,0.0163125,-1,48.01281242,-94.43351906
"2852",0.034425,0.0185375,0.03879,0.01975,0.03077,0.0338275,0.0249575,0.0288225,0.0271575,0.02194,0.005855,0.02206,-1,48.02273543,-94.32720755
"2864",0.0284175,0.020945,0.0261,0.0229066666666667,0.031865,0.0357575,0.0288225,0.0309025,0.0290375,0.0228566666666667,0.00177250000000001,-0.0254875,-1,48.13445458,-93.04852678
"2867",0.050155,0.0371625,0.04458,0.0300613333333333,0.05086075,0.06493875,0.0577675,0.058099,0.05448075,0.0416626666666667,0.0031225,-0.0252175,3,48.16025615,-92.72805042
"2984",0.0244975,0.0118425,0.0228775,0.0182566666666667,0.029912,0.0324425,0.022745,0.02768,0.0262575,0.0212733333333333,0.00741250000000001,0.01999,-1,47.85897277,-95.2666014
"2985",0.0234025,0.0122925,0.01454,0.01865,0.02999375,0.032575,0.0229475,0.0277525,0.0262925,0.02132,0.00454500000000001,0.0107925,-1,47.86963239,-95.16075104
"2986",0.05095,0.0407025,0.049865,0.030045,0.05053575,0.06513875,0.0581175,0.056979,0.05171575,0.040563,0.00530025,0.020525,3,47.88019844,-95.05485903
"2987",0.024395,0.0134625,0.017845,0.0189133333333333,0.03015175,0.032805,0.0233425,0.027915,0.02639,0.02145,0.000740000000000008,0.015055,-1,47.89067087,-94.94892574
"3007",0.0287175,0.0214075,0.0251775,0.0229033333333333,0.03191075,0.0357175,0.0290825,0.030945,0.029175,0.0229733333333333,0.0020775,-0.0228425,-1,48.0803748,-92.82212395
"3130",0.02435,0.0137375,0.02083,0.0187466666666667,0.0300715,0.032355,0.02305,0.02758,0.0262625,0.0205266666666667,-0.00191,0.00500499999999999,-1,47.84019089,-94.7216976
"3135",0.02577,0.01568,0.01901,0.01949,0.03043575,0.0327825,0.02404,0.02807,0.026755,0.02193,0.00295,-0.0177075,-1,47.89014001,-94.1917124
"3136",0.0260675,0.0159225,0.0262825,0.0201633333333333,0.03050925,0.03288,0.02428,0.0282,0.02688,0.0219966666666667,0.00586,-0.00951250000000001,-1,47.89984822,-94.08559887
"3148",0.028315,0.021035,0.0254475,0.02265,0.03174275,0.0351825,0.028605,0.030565,0.0288825,0.0229233333333333,0.00205250000000001,-0.0228375,-1,48.00900089,-92.80937178
"3273",0.0499025,0.0397125,0.048505,0.030318,0.05058575,0.06517375,0.05823,0.057104,0.05201575,0.040686,0.00583625,-0.0166075,3,47.78928153,-94.4948957
"3274",0.0245425,0.014155,0.0145,0.0188466666666667,0.0300735,0.0320025,0.0230275,0.027405,0.026285,0.02174,0.0010175,-0.0134875,-1,47.79925788,-94.38903516
"3276",0.02505,0.0148575,0.0183925,0.0204166666666667,0.0302295,0.0322025,0.023465,0.0276325,0.0265125,0.0218833333333333,0.0045625,-0.0222725,-1,47.81892938,-94.17719771
"3278",0.0557425,0.040955,0.0539,0.0302913333333333,0.05065825,0.06512625,0.058165,0.0573415,0.05256075,0.040996,0.00555499999999999,0.00303249999999999,3,47.8382256,-93.9652074
"3459",0.035525,0.023945,0.0252325,0.0212433333333333,0.032214,0.03074,0.02629,0.028795,0.030365,0.0249433333333333,0.0142275,-0.0091775,-1,48.07310669,-89.68906399
"3560",0.0238225,0.013495,0.018675,0.0200133333333333,0.02998475,0.0312475,0.0227975,0.0270375,0.0263125,0.02194,0.0067375,-0.01329,-1,47.6957547,-93.93683997
"3697",0.02373,0.011915,0.01787,0.019,0.029408,0.0300675,0.02124,0.0260525,0.02561,0.0216233333333333,0.0083,0.0116475,-1,47.58571017,-94.34490146
"3698",0.02234,0.0108825,0.01941,0.0186,0.029492,0.0302175,0.02146,0.0261775,0.0257175,0.0216866666666667,0.007495,0.009475,-1,47.59555289,-94.23941096
"3708",0.0255825,0.0156125,0.023965,0.0196333333333333,0.0305275,0.031895,0.0246125,0.027925,0.027085,0.0224033333333333,0.00800500000000001,-0.0011625,-1,47.68883424,-93.18246669
"3737",0.0437075,0.03726,0.0467325,0.0291946666666667,0.05155075,0.06518625,0.0583425,0.058704,0.05683825,0.0430393333333333,0.0085685,0.02421,3,47.90609305,-90.09901174
"3738",0.0334525,0.0220425,0.033745,0.0210333333333333,0.03167275,0.02997,0.0257975,0.0280175,0.02954,0.0246733333333333,0.0090925,0.024255,-1,47.91216381,-89.99227152
"3835",0.0498675,0.0401475,0.0380425,0.028064,0.05058075,0.06538625,0.05866,0.0568315,0.05148575,0.040684,8.8250000000005e-05,-0.0086725,3,47.48448074,-94.64610075
"3860",0.0279125,0.02135,0.024535,0.0216033333333333,0.03158,0.033595,0.0280225,0.02977,0.02864,0.02328,0.0086575,-0.021785,-1,47.70915221,-92.00422275
"3876",0.05226,0.0423425,0.0475325,0.029318,0.05149075,0.06522375,0.0584225,0.058619,0.05647325,0.0428793333333333,0.008791,0.02655,3,47.8220684,-90.30303243
"3877",0.0466825,0.047655,0.0521275,0.0292113333333333,0.05152325,0.06522625,0.05843,0.058644,0.05659575,0.042946,0.008351,0.0262525,3,47.82832074,-90.19648136
"3968",0.0143025,0.00324500000000001,0.0170375,0.0167433333333333,0.02779925,0.026605,0.0179,0.02368,0.02434,0.02091,-7.25000000000031e-05,0.007495,-1,47.32923249,-95.4704944
"3969",0.0150825,0.00387999999999999,0.022745,0.01672,0.02791175,0.0268175,0.01809,0.0238075,0.02438,0.0209633333333333,0.0040675,0.015165,-1,47.34007032,-95.36571306
"3970",0.01631,0.0045625,0.0241475,0.0176766666666667,0.028024,0.0270475,0.0182875,0.02393,0.0244125,0.0210166666666667,0.01063,0.020035,-1,47.35081556,-95.26089021
"3972",0.01834,0.00561000000000002,0.02321,0.0174266666666667,0.0282345,0.027465,0.01867,0.0241825,0.0245225,0.0211366666666667,0.00758,0.0101775,-1,47.37202806,-95.05112129
"3987",0.0226225,0.011605,0.0145875,0.0194766666666667,0.029777,0.03003,0.0221425,0.0263825,0.026185,0.0220833333333333,0.00806,-0.0223425,-1,47.5192666,-93.47287515
"4013",0.03517,0.023245,0.0288775,0.0213833333333333,0.0314255,0.0302325,0.025885,0.02791,0.028695,0.0241433333333333,0.009575,0.021075,-1,47.72454988,-90.71906373
"4109",0.050355,0.04208,0.04869,0.0298946666666667,0.05051825,0.06560125,0.05898,0.0565315,0.05095575,0.0404493333333333,0.007561,0.00607,3,47.25820311,-95.4544624
"4110",0.0147125,0.00297999999999997,0.01925,0.0168,0.0276535,0.0260675,0.0175925,0.0232775,0.024155,0.0209433333333333,0.0039825,0.00296,-1,47.26902657,-95.3498143
"4111",0.054265,0.0422075,0.05516,0.0301546666666667,0.05053325,0.06556875,0.058945,0.056569,0.05102075,0.040506,0.00986275,0.026715,3,47.27975755,-95.24512486
"4112",0.01771,0.00451750000000001,0.0243525,0.0173766666666667,0.0278845,0.0265,0.017965,0.023555,0.024255,0.0210466666666667,0.008625,0.014245,-1,47.29039601,-95.14039439
"4115",0.0198025,0.00537999999999998,0.0244875,0.0170166666666667,0.02820525,0.02709,0.018525,0.02396,0.0244625,0.02122,0.0072675,0.012965,-1,47.32175566,-94.82596018
"4118",0.02444,0.00661999999999999,0.02948,0.01717,0.0285305,0.0276875,0.0191225,0.0244,0.0247575,0.02139,0.008195,0.01724,-1,47.35228061,-94.51116877
"4119",0.023485,0.00470250000000001,0.030395,0.01621,0.02863125,0.0278825,0.019325,0.024545,0.0248625,0.0214066666666667,0.00964250000000001,0.01949,-1,47.36226985,-94.40616049
"4127",0.02034,0.00989250000000001,0.012225,0.0181366666666667,0.0294725,0.029235,0.02122,0.0257675,0.02582,0.0219533333333333,0.00834,-0.0240575,-1,47.43883316,-93.56474227
"4152",0.0433225,0.0417225,0.05046,0.0290946666666667,0.05132825,0.06529125,0.0585925,0.0583315,0.05541075,0.0424293333333333,0.007636,0.0190125,3,47.63948005,-90.9214318
"4249",0.01184,0.00056500000000001,0.0138175,0.0155333333333333,0.0271615,0.02498,0.016825,0.02252,0.023885,0.0208133333333333,0.0044125,-0.0043825,-1,47.17627177,-95.54294573
