"","d.alb.jan","d.alb.feb","d.alb.mar","d.alb.apr","d.alb.may","d.alb.jun","d.alb.jul","d.alb.aug","d.alb.sep","d.alb.oct","d.alb.nov","d.alb.dec","convert.code","Lat","Lon"
"2442",0.053195,0.0375675,0.0523075,0.0302246666666667,0.05079825,0.06482125,0.057545,0.0581515,0.05463325,0.041625,0.005811,-0.02012,3,48.35725278,-92.98071996
"2583",0.05248,0.0374975,0.046065,0.030288,0.05080575,0.06486125,0.05762,0.058104,0.05448825,0.0416016666666667,0.00103925000000001,-0.024625,3,48.28588314,-92.96769055
"2584",0.050195,0.037375,0.0431975,0.030428,0.05082325,0.06485875,0.057615,0.058149,0.05462825,0.0416613333333333,0.0044645,-0.02529,3,48.29450741,-92.86058443
"2851",0.051505,0.0491925,0.054025,0.0303946666666667,0.05059075,0.06502875,0.0579375,0.057304,0.05243825,0.040856,0.00206799999999999,0.01671,3,48.01281242,-94.43351906
"2984",0.0543525,0.0423975,0.05268,0.030424,0.05052575,0.06516375,0.0581475,0.056894,0.05154825,0.040528,0.00793925,0.02531,3,47.85897277,-95.2666014
"3130",0.04991,0.0401025,0.0504425,0.030398,0.05056325,0.06514875,0.058165,0.0570615,0.05191325,0.0403273333333333,0.00198175,0.0104675,3,47.84019089,-94.7216976
"3266",0.049865,0.0411475,0.0451175,0.030488,0.05052575,0.06525875,0.05834,0.0568065,0.05139825,0.0403936666666667,0.000708500000000004,0.014785,3,47.71682754,-95.23480103
"3273",0.0499025,0.0397125,0.048505,0.030318,0.05058575,0.06517375,0.05823,0.057104,0.05201575,0.040686,0.00583625,-0.0166075,3,47.78928153,-94.4948957
"3737",0.0437075,0.03726,0.0467325,0.0291946666666667,0.05155075,0.06518625,0.0583425,0.058704,0.05683825,0.0430393333333333,0.0085685,0.02421,3,47.90609305,-90.09901174
"3876",0.05226,0.0423425,0.0475325,0.029318,0.05149075,0.06522375,0.0584225,0.058619,0.05647325,0.0428793333333333,0.008791,0.02655,3,47.8220684,-90.30303243
"3877",0.0466825,0.047655,0.0521275,0.0292113333333333,0.05152325,0.06522625,0.05843,0.058644,0.05659575,0.042946,0.008351,0.0262525,3,47.82832074,-90.19648136
"3968",0.0498475,0.0420225,0.0499525,0.030468,0.05051575,0.06555375,0.0588825,0.0565515,0.05098325,0.040446,0.00388175,0.019365,3,47.32923249,-95.4704944
"3969",0.0501475,0.0417775,0.05345,0.0304146666666667,0.05051825,0.06553375,0.0588675,0.0565715,0.05101825,0.0404693333333333,0.006247,0.0224025,3,47.34007032,-95.36571306
"3970",0.0516675,0.0415425,0.05546,0.0304913333333333,0.05052575,0.06551875,0.05885,0.056599,0.05105325,0.040496,0.0113355,0.027455,3,47.35081556,-95.26089021
"4109",0.050355,0.04208,0.04869,0.0298946666666667,0.05051825,0.06560125,0.05898,0.0565315,0.05095575,0.0404493333333333,0.007561,0.00607,3,47.25820311,-95.4544624
"4110",0.051925,0.04189,0.0517575,0.0300346666666667,0.05052325,0.06558625,0.0589625,0.0565465,0.05098825,0.0404826666666667,0.00736775,0.015565,3,47.26902657,-95.3498143
"4111",0.054265,0.0422075,0.05516,0.0301546666666667,0.05053325,0.06556875,0.058945,0.056569,0.05102075,0.040506,0.00986275,0.026715,3,47.27975755,-95.24512486
"4112",0.05508,0.0425175,0.055665,0.0302113333333333,0.05054075,0.06555125,0.0589325,0.0565965,0.05106075,0.0405293333333333,0.009091,0.0246375,3,47.29039601,-95.14039439
