"","mod.alb.jan","mod.alb.feb","mod.alb.mar","mod.alb.apr","mod.alb.may","mod.alb.jun","mod.alb.jul","mod.alb.aug","mod.alb.sep","mod.alb.oct","mod.alb.nov","mod.alb.dec","convert.code","Lat","Lon"
"2442",0.2666275,0.263255,0.2138525,0.13585,0.1326675,0.152355,0.14997,0.1466575,0.1386125,0.12494,0.122845,0.177695,3,48.35725278,-92.98071996
"2583",0.26801,0.263185,0.214405,0.136923333333333,0.132675,0.152395,0.150045,0.14661,0.1384675,0.124916666666667,0.1218775,0.1770625,3,48.28588314,-92.96769055
"2584",0.268305,0.2630625,0.2153025,0.137993333333333,0.1326925,0.1523925,0.15004,0.146655,0.1386075,0.124976666666667,0.1245025,0.17693,3,48.29450741,-92.86058443
"2851",0.2449225,0.2522375,0.2122925,0.133663333333333,0.13246,0.1525625,0.1503625,0.14581,0.1364175,0.12417,0.121255,0.1854775,3,48.01281242,-94.43351906
"2984",0.2654275,0.2656525,0.2128675,0.134253333333333,0.132395,0.1526975,0.1505725,0.1454,0.1355275,0.123843333333333,0.123705,0.1821375,3,47.85897277,-95.2666014
"3130",0.268035,0.26579,0.210215,0.133666666666667,0.1324325,0.1526825,0.15059,0.1455675,0.1358925,0.12402,0.1205125,0.18743,3,47.84019089,-94.7216976
"3266",0.26797,0.266835,0.213615,0.133786666666667,0.132395,0.1527925,0.150765,0.1453125,0.1353775,0.123836666666667,0.1205775,0.189675,3,47.71682754,-95.23480103
"3273",0.2680275,0.2654,0.2104475,0.133623333333333,0.132455,0.1527075,0.150655,0.14561,0.135995,0.12409,0.1216175,0.178785,3,47.78928153,-94.4948957
"3737",0.23086,0.258135,0.215905,0.139623333333333,0.13342,0.15272,0.1507675,0.14721,0.1408175,0.126353333333333,0.12138,0.1824075,3,47.90609305,-90.09901174
"3876",0.250945,0.2511725,0.2133675,0.139163333333333,0.13336,0.1527575,0.1508475,0.147125,0.1404525,0.126193333333333,0.1219875,0.1843225,3,47.8220684,-90.30303243
"3877",0.24064,0.2431025,0.2130475,0.138486666666667,0.1333925,0.15276,0.150855,0.14715,0.140575,0.12626,0.1212,0.1768525,3,47.82832074,-90.19648136
"3968",0.26758,0.26771,0.212855,0.136483333333333,0.132385,0.1530875,0.1513075,0.1450575,0.1349625,0.12376,0.1215875,0.1878975,3,47.32923249,-95.4704944
"3969",0.2677525,0.267465,0.2139425,0.136013333333333,0.1323875,0.1530675,0.1512925,0.1450775,0.1349975,0.123783333333333,0.12231,0.18217,3,47.34007032,-95.36571306
"3970",0.2673475,0.26723,0.2134775,0.137796666666667,0.132395,0.1530525,0.151275,0.145105,0.1350325,0.12381,0.125215,0.180865,3,47.35081556,-95.26089021
"4109",0.2677175,0.2677675,0.21247,0.138383333333333,0.1323875,0.153135,0.151405,0.1450375,0.134935,0.123763333333333,0.124755,0.1883925,3,47.25820311,-95.4544624
"4110",0.266875,0.26752,0.2129725,0.138253333333333,0.1323925,0.15312,0.1513875,0.1450525,0.1349675,0.123796666666667,0.12386,0.1896325,3,47.26902657,-95.3498143
"4111",0.2656025,0.267205,0.2133075,0.13821,0.1324025,0.1531025,0.15137,0.145075,0.135,0.12382,0.124235,0.18262,3,47.27975755,-95.24512486
