"","mod.st.jan","mod.st.feb","mod.st.mar","mod.st.apr","mod.st.may","mod.st.jun","mod.st.jul","mod.st.aug","mod.st.sep","mod.st.oct","mod.st.nov","mod.st.dec","convert.code","Lat","Lon"
"3116",261.637763836706,262.465516620458,269.552325252528,278.200971708935,285.344135232292,289.054050237049,292.684699503106,291.672899706681,288.092631046875,281.132191224802,273.47682515912,265.669821837778,3,48.32342999,-92.93763516
"3941",259.079432267481,261.137047802808,270.814054543102,281.256251901667,287.440174423067,291.109509685887,293.623307994236,292.083181016715,288.766829524801,280.83998283233,272.357644455387,262.513080019426,3,47.8653977,-95.22779663
"3947",259.447554667887,261.172844431343,270.876824918025,280.942613746188,287.382357553183,291.118064347218,293.655707671018,292.039953413046,288.819329116882,280.930805192769,272.489773594204,262.751256081613,3,47.8653977,-94.67815788
"3995",264.455997272662,265.088841097861,270.078344864845,278.007058101867,283.43810476559,287.739575676597,292.190478142271,292.088724509919,287.339018117993,281.199865702272,275.227317634403,271.13094826562,3,47.8653977,-90.28104786
"3996",264.508106740894,265.213136204898,270.09402895162,277.928669574907,283.320708203056,287.667586007944,292.100872710574,292.016113096102,287.363067844722,281.295942480667,275.337153550887,271.110428852023,3,47.8653977,-90.1894414
"4129",259.009943151176,261.240817166907,270.765638103095,279.978723699645,286.756752852465,290.937448736782,293.441959656644,291.664541368211,288.478970273065,280.969800440302,272.088838376287,262.448713306014,3,47.77379124,-93.57888037
"4330",264.573046266234,264.614603192266,270.283314347363,278.757153839583,284.313604477292,288.587222518868,292.743451167049,292.435159895593,287.533596202704,281.040526872117,274.744887450368,270.66316862347,3,47.68218478,-90.73908015
"4497",265.18655452585,264.719732297113,270.485555426028,278.842654367145,284.30228108765,288.984264868736,292.901109556889,292.551015188215,287.66894243087,281.234854058765,274.84741812553,270.924485435157,3,47.59057832,-91.01389953
"4498",264.955571694053,264.652628437866,270.45113515535,278.899397274367,284.420457912951,288.973911872396,292.892638967218,292.556759217035,287.670573994139,281.177276301586,274.778871507,270.687482485225,3,47.59057832,-90.92229307
"4700",263.354685234697,265.221083867655,270.089083053553,277.58870097892,284.076865068461,288.355546389759,291.947218617454,291.680358491725,288.0087342704,281.874638653978,275.10961100169,268.598954742116,3,47.49897186,-87.99088639
