"","x"
"13",6
"14",7
"127",47
"149",58
"153",62
"154",63
"155",64
"174",73
"179",78
"180",79
"181",80
"182",81
"184",82
"204",94
"212",102
"213",103
"214",104
"215",105
"237",118
"240",121
"244",123
"245",124
"246",125
"268",134
"270",136
"275",141
"276",142
"279",143
"282",145
"283",146
"308",161
"316",167
"317",168
"318",169
"321",171
"323",173
"324",174
"327",177
"329",178
"361",191
"362",192
"363",193
"364",194
"365",195
"366",196
"367",197
"368",198
"370",200
"372",202
"400",213
"401",214
"402",215
"404",217
"405",218
"407",220
"408",221
"409",222
"410",223
"411",224
"412",225
"413",226
"415",228
"448",247
"449",248
"450",249
"451",250
"454",253
"455",254
"457",256
"458",257
"459",258
"483",267
"493",274
"495",276
"496",277
"497",278
"500",281
"501",282
"502",283
"503",284
"536",300
"537",301
"538",302
"543",307
"546",310
"548",312
"549",313
"550",314
"551",315
"575",326
"576",327
"577",328
"578",329
"579",330
"580",331
"583",333
"584",334
"586",336
"587",337
"589",339
"590",340
"591",341
"592",342
"594",344
"598",348
"599",349
"600",350
"601",351
"621",357
"622",358
"623",359
"626",361
"627",362
"628",363
"629",364
"630",365
"632",367
"633",368
"636",371
"639",374
"644",379
"645",380
"649",384
"652",386
"654",388
"657",390
"675",397
"676",398
"678",400
"680",402
"681",403
"682",404
"685",407
"686",408
"687",409
"688",410
"689",411
"690",412
"691",413
"692",414
"693",415
"696",418
"697",419
"698",420
"699",421
"700",422
"706",428
"708",430
"710",432
"741",448
"742",449
"743",450
"744",451
"745",452
"746",453
"747",454
"748",455
"749",456
"752",458
"754",460
"757",463
"759",465
"761",467
"762",468
"763",469
"765",471
"768",474
"769",475
"770",476
"772",477
"777",482
"780",485
"782",487
"800",495
"805",500
"806",501
"809",504
"810",505
"811",506
"813",508
"815",510
"817",512
"818",513
"819",514
"825",519
"830",523
"835",527
"837",529
"841",533
"844",535
"845",536
"847",538
"848",539
"849",540
"850",541
"851",542
"866",546
"871",548
"872",549
"873",550
"874",551
"875",552
"877",554
"881",558
"883",560
"884",561
"885",562
"887",564
"888",565
"889",566
"891",568
"893",569
"894",570
"895",571
"896",572
"897",573
"898",574
"899",575
"900",576
"901",577
"902",578
"903",579
"909",583
"911",585
"912",586
"914",588
"918",592
"919",593
"921",595
"937",601
"942",605
"943",606
"947",610
"952",615
"954",617
"955",618
"956",619
"957",620
"958",621
"960",623
"963",625
"967",629
"970",632
"971",633
"972",634
"979",639
"980",640
"982",642
"983",643
"984",644
"986",646
"987",647
"988",648
"989",649
"1006",660
"1010",663
"1012",665
"1019",671
"1020",672
"1021",673
"1022",674
"1024",675
"1026",677
"1027",678
"1029",680
"1031",681
"1037",687
"1042",692
"1043",693
"1048",698
"1049",699
"1050",700
"1051",701
"1053",703
"1071",708
"1072",709
"1073",710
"1076",713
"1079",714
"1083",716
"1085",718
"1086",719
"1087",720
"1089",722
"1093",726
"1094",727
"1095",728
"1096",729
"1098",731
"1100",733
"1101",734
"1102",735
"1107",740
"1112",745
"1114",747
"1115",748
"1116",749
"1133",755
"1134",756
"1135",757
"1138",760
"1139",761
"1140",762
"1141",763
"1142",764
"1146",768
"1147",769
"1148",770
"1151",773
"1152",774
"1153",775
"1155",777
"1157",779
"1158",780
"1159",781
"1160",782
"1161",783
"1167",789
"1168",790
"1170",792
"1171",793
"1173",795
"1174",796
"1175",797
"1176",798
"1192",805
"1193",806
"1194",807
"1195",808
"1196",809
"1197",810
"1198",811
"1199",812
"1201",814
"1202",815
"1207",819
"1209",821
"1211",823
"1213",825
"1214",826
"1215",827
"1216",828
"1217",829
"1227",838
"1232",843
"1233",844
"1234",845
"1235",846
"1249",851
"1250",852
"1251",853
"1252",854
"1253",855
"1254",856
"1255",857
"1256",858
"1263",863
"1265",865
"1267",866
"1271",870
"1272",871
"1273",872
"1274",873
"1277",875
"1278",876
"1280",878
"1281",879
"1284",882
"1289",887
"1290",888
"1291",889
"1292",890
"1306",895
"1307",896
"1309",897
"1310",898
"1311",899
"1312",900
"1313",901
"1314",902
"1315",903
"1316",904
"1320",908
"1321",909
"1326",912
"1327",913
"1328",914
"1332",918
"1333",919
"1336",922
"1337",923
"1340",926
"1341",927
"1342",928
"1344",930
"1346",932
"1347",933
"1348",934
"1363",940
"1365",942
"1366",943
"1368",945
"1369",946
"1371",948
"1373",950
"1376",953
"1378",955
"1382",959
"1384",961
"1391",964
"1392",965
"1394",967
"1399",972
"1400",973
"1401",974
"1402",975
"1405",976
"1407",977
"1421",983
"1424",986
"1427",988
"1428",989
"1429",990
"1430",991
"1431",992
"1433",994
"1434",995
"1436",997
"1437",998
"1439",1000
"1440",1001
"1449",1009
"1453",1011
"1454",1012
"1455",1013
"1456",1014
"1457",1015
"1458",1016
"1459",1017
"1460",1018
"1461",1019
"1467",1023
"1468",1024
"1485",1033
"1487",1035
"1488",1036
"1491",1039
"1493",1041
"1496",1044
"1498",1046
"1499",1047
"1500",1048
"1501",1049
"1508",1055
"1513",1060
"1515",1062
"1516",1063
"1518",1065
"1519",1066
"1520",1067
"1522",1068
"1523",1069
"1526",1072
"1544",1084
"1545",1085
"1546",1086
"1548",1088
"1549",1089
"1550",1090
"1551",1091
"1554",1094
"1555",1095
"1558",1098
"1565",1105
"1566",1106
"1567",1107
"1570",1110
"1571",1111
"1574",1114
"1575",1115
"1576",1116
"1577",1117
"1584",1122
"1601",1131
"1606",1134
"1607",1135
"1608",1136
"1610",1138
"1611",1139
"1628",1156
"1629",1157
"1632",1160
"1633",1161
"1640",1162
"1647",1167
"1668",1176
"1670",1178
"1671",1179
"1672",1180
"1673",1181
"1674",1182
"1675",1183
"1677",1185
"1691",1199
"1693",1200
"1697",1201
"1698",1202
"1701",1203
"1702",1204
"1703",1205
"1704",1206
"1729",1218
"1735",1223
"1736",1224
"1740",1228
"1753",1241
"1758",1242
"1759",1243
"1760",1244
"1761",1245
"1762",1246
"1763",1247
"1768",1249
"1793",1260
"1797",1264
"1798",1265
"1817",1280
"1822",1281
"1825",1283
"1826",1284
"1829",1287
"1831",1289
"1835",1290
"1836",1291
"1841",1296
"1845",1299
"1864",1310
"1868",1314
"1869",1315
"1870",1316
"1871",1317
"1879",1325
"1887",1332
"1888",1333
"1889",1334
"1890",1335
"1891",1336
"1892",1337
"1894",1339
"1895",1340
"1896",1341
"1898",1343
"1900",1345
"1901",1346
"1902",1347
"1906",1348
"1910",1351
"1911",1352
"1913",1354
"1916",1357
"1917",1358
"1918",1359
"1920",1360
"1921",1361
"1922",1362
"1945",1375
"1947",1377
"1949",1378
"1950",1379
"1951",1380
"1952",1381
"1964",1392
"1967",1395
"1968",1396
"1970",1398
"1971",1399
