"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",2.71299507763061e-06,3.28320141177431e-06,4.55279981976817e-06,3.03831017693377e-07,2.69629855479407e-05,4.83733091795809e-05,6.67064824004963e-05,7.10116508985618e-05,4.78471268628244e-05,1.8171046048625e-05,6.68668660271467e-06,4.84111830762995e-06
"2",-2.48308119145276e-07,-3.11489862278268e-07,-6.33562059769012e-07,1.43559655219832e-07,-3.74707798659779e-06,-4.97098806973448e-06,-5.00563212062339e-06,-4.17666390395409e-06,-3.59766319922033e-06,-2.74021361333645e-06,-1.49602861286002e-06,-7.80719064847479e-07
"3",1.09452314531144e-07,1.45710940131179e-07,2.37639402762699e-07,2.60766300751896e-08,1.01304033387708e-06,1.50155463564517e-06,1.37074702669575e-06,1.50929674605389e-06,1.15998044328389e-06,7.30422165944275e-07,4.86879540013697e-07,2.42700632915655e-07
"4",-1.14275435666286e-07,-1.04522664205111e-07,3.53694591185479e-08,-1.11127639283393e-07,1.75688676694116e-07,-1.3704988439556e-06,-4.03256845921401e-06,-5.48594983351488e-06,-2.95649962229185e-06,2.27544911880657e-07,6.27535983994074e-07,1.2653008160652e-07
"5",2.74853118598786e-07,5.19167001797707e-07,4.88627766397842e-07,6.10784707997302e-07,4.00063983738233e-06,8.03181891016452e-06,9.7114768571571e-06,9.13123138455966e-06,5.61921931357518e-06,1.58804024079299e-06,6.10784707997302e-07,4.27549295598111e-07
"6",7.68651444131226e-07,1.2055347846562e-06,1.72688185434045e-06,6.27671167957166e-07,1.04043352079393e-05,1.67793557055292e-05,1.7358883792699e-05,1.5861542500894e-05,1.13544410984764e-05,6.06355253588862e-06,3.45213875625285e-06,1.81830521222631e-06
"7",4.51594366270392e-07,6.61523646581792e-07,9.80192651153806e-07,2.94626692800352e-07,4.70636034307688e-06,7.47244075126711e-06,7.1205794435962e-06,7.29614042306068e-06,5.30420541857209e-06,2.9768865558719e-06,1.94526518760655e-06,9.7747353583165e-07
"8",3.66091707526832e-08,6.43294349605143e-08,6.47385973051592e-08,8.16980857055737e-08,5.19780647703838e-07,1.04535084565603e-06,1.26459670782748e-06,1.18868817237026e-06,7.30546765675085e-07,2.08075924019393e-07,7.85987294090747e-08,5.62588531049519e-08
"9",2.20945954395912e-08,4.208659511787e-08,3.95763865417093e-08,5.15197521446641e-08,3.25248501586102e-07,6.51752905878409e-07,7.85899638602216e-07,7.36940010935035e-07,4.53632754711628e-07,1.2894001680809e-07,4.99304819538872e-08,3.47072611624822e-08
"10",7.70780810965125e-08,1.4200211970471e-07,1.3686611389084e-07,1.71644490358956e-07,1.1128296259973e-06,2.23555257858595e-06,2.70354187431048e-06,2.54156108029005e-06,1.5632804329334e-06,4.43001584670672e-07,1.69245060337464e-07,1.19395028438897e-07
"11",2.51438231379498e-07,4.59460683051495e-07,4.33390222024918e-07,5.30042444192259e-07,3.32949114218801e-06,6.80006118066364e-06,8.27572981548937e-06,8.0039740383189e-06,4.90063974619619e-06,1.32859956936666e-06,5.1967384804373e-07,3.67494945796272e-07
"12",-1.28237263967025e-07,-1.9724782015232e-07,-2.17808186986377e-07,-1.22845396921546e-08,-1.51079985822227e-06,-2.93786528836954e-06,-3.63551427164754e-06,-3.57580829109306e-06,-2.27121032959259e-06,-7.17225456622891e-07,-2.91870287952049e-07,-2.00450004437977e-07
"13",9.98612413444816e-08,1.99961001009012e-07,1.87132975650532e-07,3.00172978929616e-07,1.57139120935106e-06,3.11512424840565e-06,3.69703010091179e-06,3.41134457051457e-06,2.10352182504301e-06,6.1840373778514e-07,2.48760811872937e-07,1.66257057777662e-07
"14",2.5284428219994e-07,4.75531026159914e-07,4.49353536911324e-07,5.62023591888436e-07,3.67468744603349e-06,7.37820574730981e-06,8.92144892975804e-06,8.38825619311245e-06,5.16159560099316e-06,1.45940398271396e-06,5.60696908891311e-07,3.93018509422768e-07
"15",1.84567906624219e-07,3.4760658631521e-07,3.28047745619446e-07,4.10223880877429e-07,2.68371528245535e-06,5.38830299643144e-06,6.51526927687251e-06,6.12591782751582e-06,3.76959349526743e-06,1.06566257670383e-06,4.09567085464942e-07,2.86959677990454e-07
"16",9.76568129939939e-08,1.84462868988655e-07,1.73612111989323e-07,2.17015139986653e-07,1.42144916691258e-06,2.85374909082449e-06,3.45054072578779e-06,3.24437634280047e-06,1.99653928787721e-06,5.64239363965298e-07,2.17015139986653e-07,1.51910597990657e-07
"17",4.94124547108412e-07,9.37790267055698e-07,8.7039920665238e-07,1.12011186446446e-06,7.17500069127369e-06,1.45014697390499e-05,1.75841128467743e-05,1.65629210287504e-05,1.01555584044523e-05,2.80544261714824e-06,1.06055711306089e-06,7.53425124255636e-07
"18",-8.47359193785738e-08,-1.06658359207011e-07,-2.46488143960997e-07,7.59757407620401e-08,-1.43654781026217e-06,-1.72981170385992e-06,-1.49726665768864e-06,-1.05864171309693e-06,-1.09367347311666e-06,-1.08043422480383e-06,-6.35504189527718e-07,-3.13344548888368e-07
"19",-1.112383843273e-07,-1.60368759804839e-07,-2.87812242404654e-07,-2.71095084208221e-10,-1.8123192290613e-06,-2.55597377660076e-06,-2.53057425477894e-06,-2.04990172749916e-06,-1.67577620619166e-06,-1.19684012084902e-06,-6.66969444320646e-07,-3.43343328665936e-07
"20",1.67876557572076e-07,3.19299438200941e-07,3.0017878544349e-07,3.8695234506409e-07,2.46533997302014e-06,4.94225583757858e-06,5.96339432084799e-06,5.5953122616033e-06,3.44408431223489e-06,9.77584543205741e-07,3.77963391870309e-07,2.63131528700156e-07
"21",-2.74942716949356e-08,-1.96353408839577e-08,-1.07327776037432e-07,9.92273953825584e-08,-5.2551928368809e-07,-3.52423461121019e-07,-6.27222489828109e-08,1.5484882955776e-07,-1.73626895478572e-07,-5.18516628076994e-07,-3.3355712157081e-07,-1.5330790820097e-07
"22",-1.12261666987774e-07,-1.44201547004313e-07,-3.21630596157075e-07,8.78567075026672e-08,-1.893383184925e-06,-2.33214893568541e-06,-2.06123747306277e-06,-1.49228988457051e-06,-1.48085912978752e-06,-1.40010026823503e-06,-8.1885681312085e-07,-4.05634009476911e-07
"23",-3.40265885777646e-07,-4.41109010146449e-07,-7.31741498853747e-07,2.33010936434437e-08,-4.50807736515486e-06,-6.90703435219169e-06,-8.05018275455985e-06,-7.54932587787753e-06,-5.59609187461995e-06,-3.06118073411874e-06,-1.47106042351561e-06,-8.4853924120286e-07
"24",6.87174937230664e-08,1.83384347757267e-07,2.5480000939414e-08,4.18190445542364e-07,7.9438916969704e-07,2.75764988347671e-06,3.93575667489868e-06,4.05399802594732e-06,2.04973297464173e-06,-1.97706420614416e-07,-2.98072933894957e-07,-7.59936599430853e-08
"25",1.82200128531158e-08,3.24234936752033e-08,3.29606935974753e-08,4.70336440425865e-08,2.66844762613275e-07,5.33616083809446e-07,6.39961750606123e-07,5.96268733155793e-07,3.66701586483696e-07,1.06546254372642e-07,4.0999822623806e-08,2.88103885851452e-08
"26",1.32398711199573e-07,2.50086454488083e-07,2.35375486577019e-07,2.94219358221274e-07,1.92713679634934e-06,3.86898456060975e-06,4.67808779571825e-06,4.39857940540804e-06,2.70681809563572e-06,7.64970331375312e-07,2.94219358221274e-07,2.05953550754892e-07
"27",8.5039185944446e-09,1.69854330125941e-08,1.58075759141737e-08,2.40966451029926e-08,1.33211028726525e-07,2.64334253540028e-07,3.14864333887558e-07,2.90871856425915e-07,1.7939641790158e-07,5.24446440072944e-08,2.08690203240074e-08,1.40541574280931e-08
"28",4.67738148386628e-08,8.88592787412133e-08,8.33700195106251e-08,1.0552649281263e-07,6.83984560825139e-07,1.37227322619659e-06,1.65778830166686e-06,1.55743031496384e-06,9.58560053652391e-07,2.71295191896757e-07,1.04650087151245e-07,7.30225269557623e-08
"29",1.76045779200503e-07,3.33221204316359e-07,3.11824409379234e-07,3.94361587576633e-07,2.56012720861772e-06,5.15359763042909e-06,6.23848781445708e-06,5.86995863949714e-06,3.60700348379703e-06,1.01011777039273e-06,3.85884778256053e-07,2.71682440367077e-07
"30",-2.95556176691286e-07,-2.68235149517867e-07,-4.43678019182903e-07,3.35639272902611e-07,-2.08421184567224e-06,-3.67846448854914e-06,-6.08049570226967e-06,-7.26662593721162e-06,-4.99729678224013e-06,-1.87906621931292e-06,-5.84827405689416e-07,-4.86458182091119e-07
"31",7.07529109346932e-07,1.34126998106283e-06,1.10170258245822e-06,1.33242947670396e-06,1.41729502348377e-05,4.32762486149507e-05,5.09287693339654e-05,4.6368601251901e-05,2.30803163501817e-05,3.16385991632448e-06,2.14420702765563e-06,8.55030607780457e-07
"32",-1.05147046046629e-06,-9.17948510557479e-07,-1.13848100415959e-06,4.82639013430375e-07,-5.7601439962932e-06,-1.33959147537009e-05,-2.61487741325609e-05,-3.21992602040955e-05,-2.05681035892615e-05,-5.12051500575935e-06,-3.33631785486474e-07,-1.14799522938821e-06
"33",2.33958522082467e-07,4.0748517579974e-07,3.87303735123413e-07,4.51929326753171e-07,2.69206924182541e-06,5.64179744769146e-06,6.93290360948933e-06,6.99623598398557e-06,4.25676585824379e-06,1.08968534285784e-06,4.39854198446511e-07,3.14740511619665e-07
"34",7.69911072209874e-09,3.28853242967247e-09,4.38225049490936e-09,1.3338841938343e-08,-1.59968473432608e-07,-2.30885378266595e-07,-2.53648284862544e-07,-5.1679649948867e-08,-5.1596294373574e-08,-5.60837130534703e-08,-8.91341110518723e-09,-5.86301363084817e-09
"35",1.33601674109447e-07,2.52378958389056e-07,2.37515533064739e-07,2.96891163373051e-07,1.94470152865937e-06,3.90424045898007e-06,4.72071392896108e-06,4.43866016724936e-06,2.73148718348622e-06,7.71935241334022e-07,2.96904175204543e-07,2.07827717910583e-07
"36",2.32046066325571e-08,4.38699412733037e-08,4.1255420987294e-08,5.15630055429342e-08,3.37861845991648e-07,6.7828804673984e-07,8.20130206821192e-07,7.71131556034801e-07,4.7455021379518e-07,1.34098930282255e-07,5.15880883076673e-08,3.61016287094739e-08
"37",4.38983493392623e-07,6.49149283505652e-07,6.30052317296236e-07,4.62126399928057e-07,2.98856988933739e-06,7.13316901491028e-06,9.30081904640701e-06,1.09825187643857e-05,6.53692805841082e-06,1.29145372549581e-06,5.54794648344738e-07,4.40209182814384e-07
"38",9.98608105970525e-08,1.89332824272617e-07,1.76252331474021e-07,2.25417204464536e-07,1.45079017661368e-06,2.92801754654774e-06,3.54828683593303e-06,3.34095822397508e-06,2.05009475652302e-06,5.691099858326e-07,2.15955987265706e-07,1.52922185100834e-07
"39",1.50893217326969e-06,1.89755016805906e-06,1.7915024413726e-06,2.16971363085521e-06,8.63908578364528e-06,2.01917128980096e-05,2.27416693288474e-05,2.35333714609636e-05,1.47714511749746e-05,2.01434452736539e-06,2.63407076419088e-06,1.59767705387938e-06
"40",-3.4696341079789e-08,9.37427129197253e-09,-7.48360753513323e-08,1.99445239596813e-07,-1.27662192290917e-07,2.07877447202519e-07,1.29735268537624e-07,-6.55324327126406e-08,-2.81846029936481e-07,-4.15366702295193e-07,-2.04347390643821e-07,-1.16358621898922e-07
"41",5.09721934134507e-07,4.28189986645642e-07,2.22546387154645e-07,2.94560340987799e-08,1.10532410776389e-06,6.09412578064408e-06,1.50552597753919e-05,1.96806879375638e-05,1.15343007677377e-05,9.94846680160061e-07,-1.18583157364453e-06,6.1855471484781e-08
"42",-4.97799198180216e-07,-5.08005256473335e-07,-1.1244702421296e-06,5.34271563777279e-07,-6.11477371555145e-06,-7.98924692083368e-06,-9.27443592719303e-06,-8.86232778089208e-06,-7.39062633399606e-06,-5.06203109039847e-06,-2.50509004180887e-06,-1.40764399236252e-06
"43",9.11049698462614e-08,1.60196438682066e-07,1.6111505322472e-07,2.03304826160326e-07,1.2938086206875e-06,2.60198670386775e-06,3.14769790840267e-06,2.9587625447351e-06,1.81842493875461e-06,5.17890894092062e-07,1.95660787642622e-07,1.40020166756917e-07
"44",6.14691490807997e-08,8.87726893148931e-08,8.65322009731436e-08,8.25675238205758e-08,3.27869112873804e-07,8.46678361511111e-07,1.11216554598462e-06,1.42527648200616e-06,8.38465395766954e-07,1.46886438644209e-07,7.29921624234996e-08,5.65241764121444e-08
"45",7.48421621827117e-07,8.08144078319923e-07,8.51667776726051e-07,1.23630330305708e-07,5.15248428139678e-06,1.19900677390412e-05,2.06773127715648e-05,2.41176421970056e-05,1.50727096293941e-05,3.47448523346844e-06,2.61054088060283e-07,7.87557878253699e-07
"46",4.45453277353271e-07,5.47389235684171e-07,4.82599921513023e-07,1.88762712516176e-07,3.29956130486387e-06,8.14763599829851e-06,1.33682377576422e-05,1.51893351078789e-05,9.21080125415109e-06,1.74353154645679e-06,-3.58006301337952e-09,3.84524642750552e-07
"47",-1.06582723913392e-07,-7.48357619174998e-08,-3.12950046160647e-07,2.89720932916013e-07,-1.50346704363451e-06,-1.25590122738861e-06,-9.50766314888505e-07,-6.28556836543246e-07,-1.11712847358365e-06,-1.51416863275562e-06,-8.70062235638993e-07,-4.35199302048101e-07
